154088005;51.3007747,6.9300546 51.3007926,6.9305170 51.3005213,6.9305459 51.3005020,6.9300836 51.3007747,6.9300546
154088007;51.3004260,6.9296642 51.3004808,6.9300909 51.3007724,6.9299951 51.3007175,6.9295684 51.3004260,6.9296642
154088008;51.2992757,6.9283893 51.2985365,6.9287765 51.2987211,6.9296812 51.2994625,6.9293055 51.2992757,6.9283893
154088017;51.2996356,6.9280870 51.2997268,6.9285343 51.2998393,6.9290870 51.2994584,6.9292857 51.2992545,6.9282857 51.2996356,6.9280870
154089236;51.2993447,6.9323003 51.2993667,6.9332106 51.2993707,6.9333774 51.2995062,6.9333690 51.2994802,6.9322919 51.2993447,6.9323003
154089239;51.3002598,6.9310774 51.2998971,6.9310988 51.2999023,6.9313216 51.3002650,6.9313001 51.3002598,6.9310774
154089249;51.3004255,6.9319933 51.3004335,6.9323669 51.2999217,6.9323951 51.2999137,6.9320216 51.3004255,6.9319933
154089255;51.3003799,6.9328067 51.3000177,6.9328273 51.3000128,6.9326098 51.3003750,6.9325892 51.3003799,6.9328067
154089260;51.3001883,6.9317013 51.3001903,6.9317915 51.2998644,6.9318105 51.2998598,6.9316095 51.3001883,6.9317013
154089261;51.3007245,6.9317955 51.3007148,6.9313689 51.3003088,6.9313925 51.3003185,6.9318191 51.3007245,6.9317955
154089262;51.3001814,6.9313999 51.3001883,6.9317013 51.2999139,6.9317172 51.2999071,6.9314159 51.3001814,6.9313999
154089263;51.3005466,6.9324861 51.3005573,6.9329679 51.3003836,6.9329778 51.3003730,6.9324959 51.3005466,6.9324861
154089556;51.2987219,6.9315072 51.2987116,6.9309903 51.2987677,6.9309874 51.2987780,6.9315043 51.2987219,6.9315072
154089558;51.2980609,6.9312719 51.2981759,6.9317834 51.2980072,6.9318804 51.2978922,6.9313689 51.2980609,6.9312719
154089559;51.2982396,6.9311689 51.2983104,6.9315015 51.2981883,6.9315679 51.2981175,6.9312353 51.2982396,6.9311689
154089560;51.2984455,6.9310570 51.2985046,6.9313263 51.2983741,6.9313996 51.2983150,6.9311303 51.2984455,6.9310570
154089562;51.2986900,6.9318211 51.2986986,6.9322526 51.2987928,6.9322478 51.2987842,6.9318163 51.2986900,6.9318211
154089567;51.2991073,6.9309701 51.2991305,6.9321332 51.2987909,6.9321505 51.2987677,6.9309874 51.2991073,6.9309701
154090964;51.2988499,6.9331129 51.2989440,6.9331587 51.2989697,6.9330236 51.2988757,6.9329777 51.2988499,6.9331129
154090968;51.2990725,6.9330736 51.2991126,6.9330932 51.2990094,6.9336348 51.2989693,6.9336152 51.2990725,6.9330736
154090970;51.2987433,6.9329133 51.2985838,6.9328356 51.2985607,6.9329570 51.2987202,6.9330347 51.2987433,6.9329133
154090976;51.2991271,6.9324354 51.2991443,6.9330409 51.2989697,6.9330236 51.2989572,6.9324478 51.2991271,6.9324354
154090984;51.2985838,6.9328356 51.2984938,6.9327917 51.2984019,6.9332740 51.2984920,6.9333178 51.2985607,6.9329570 51.2985838,6.9328356
154090985;51.2988757,6.9329777 51.2987433,6.9329133 51.2986998,6.9331419 51.2986396,6.9334581 51.2987719,6.9335226 51.2988757,6.9329777
305533210;51.3001268,6.9294450 51.2996247,6.9297085 51.2995682,6.9294333 51.3000703,6.9291698 51.3001268,6.9294450
305533216;51.2998706,6.9299472 51.2996152,6.9300162 51.2995957,6.9298313 51.2998510,6.9297623 51.2998706,6.9299472
306396102;51.2968472,6.9299902 51.2968868,6.9303738 51.2973193,6.9302597 51.2973781,6.9308293 51.2968457,6.9309697 51.2967478,6.9300165 51.2968472,6.9299902
765539548;51.3010946,6.9335391 51.3010083,6.9338085 51.3005998,6.9337157 51.3000104,6.9336017 51.3000005,6.9331620 51.3008495,6.9331113 51.3008112,6.9323621 51.3010664,6.9323440 51.3010946,6.9335391
1257265355;51.3002064,6.9299415 51.3002363,6.9302259 51.3001591,6.9302467 51.3001292,6.9299623 51.3002064,6.9299415
1257265356;51.3001591,6.9302467 51.2998549,6.9303283 51.2998252,6.9300433 51.3001292,6.9299623 51.3001591,6.9302467
1287988963;51.2980688,6.9299694 51.2981909,6.9303301 51.2976410,6.9306530 51.2975192,6.9298416 51.2977850,6.9297398 51.2978335,6.9300606 51.2980688,6.9299694
