105039225;51.2904654,6.8360101 51.2903929,6.8363734 51.2908791,6.8366214 51.2909516,6.8362582 51.2908368,6.8361996 51.2904654,6.8360101
106539240;51.2947764,6.8303728 51.2947744,6.8304923 51.2947405,6.8304909 51.2947347,6.8308402 51.2947357,6.8310172 51.2947249,6.8315690 51.2942136,6.8315474 51.2942165,6.8313719 51.2941505,6.8313691 51.2941524,6.8312500 51.2942101,6.8312524 51.2942220,6.8305282 51.2941568,6.8305255 51.2941598,6.8303468 51.2947764,6.8303728
128287148;51.2913535,6.8616844 51.2912510,6.8616293 51.2912380,6.8616911 51.2912466,6.8616957 51.2912334,6.8617584 51.2912700,6.8617781 51.2912825,6.8617188 51.2913398,6.8617496 51.2913535,6.8616844
135924640;51.3445102,6.8356932 51.3446363,6.8359465 51.3443758,6.8362874 51.3442035,6.8363658 51.3442175,6.8364354 51.3439038,6.8365654 51.3438828,6.8364017 51.3437245,6.8364555 51.3436208,6.8362313 51.3436082,6.8361371 51.3438940,6.8360116 51.3438561,6.8357627 51.3442791,6.8356281 51.3443225,6.8359129 51.3445102,6.8356932
135924751;51.3453630,6.8356784 51.3455121,6.8360832 51.3455918,6.8360079 51.3456475,6.8361590 51.3448066,6.8369532 51.3446018,6.8363973 51.3453630,6.8356784
135924778;51.3460829,6.8376173 51.3461910,6.8379330 51.3456748,6.8383858 51.3455668,6.8380701 51.3460829,6.8376173
135928886;51.3416279,6.8351232 51.3417483,6.8351994 51.3415956,6.8358654 51.3416713,6.8359169 51.3417007,6.8357958 51.3419598,6.8359438 51.3419248,6.8360627 51.3421111,6.8361703 51.3421797,6.8358586 51.3421531,6.8356949 51.3421965,6.8356523 51.3422764,6.8359102 51.3421881,6.8363676 51.3420831,6.8368273 51.3420144,6.8367892 51.3420397,6.8366143 51.3419332,6.8365537 51.3419318,6.8364237 51.3418744,6.8363856 51.3418520,6.8364999 51.3415774,6.8363429 51.3416895,6.8367107 51.3416475,6.8367376 51.3417063,6.8369730 51.3417581,6.8369416 51.3419150,6.8374932 51.3418324,6.8375448 51.3413757,6.8360604 51.3413967,6.8359416 51.3414528,6.8359640 51.3416195,6.8351478 51.3416279,6.8351232
135928915;51.3422200,6.8344565 51.3424421,6.8351928 51.3422991,6.8353032 51.3423721,6.8355453 51.3423122,6.8355916 51.3420172,6.8346132 51.3422200,6.8344565
165849514;51.3429048,6.8472617 51.3423350,6.8466355 51.3421342,6.8471039 51.3427040,6.8477301 51.3429048,6.8472617
165877391;51.3069900,6.8335126 51.3064497,6.8333495 51.3062833,6.8347597 51.3068236,6.8349228 51.3069900,6.8335126
